source,target,count
"biology","biology",454
"biology","techno",10
"techno","biology",10
"biology","psycho",15
"psycho","biology",15
"biology","socio",22
"socio","biology",22
"biology","medicine",43
"medicine","biology",43
"biology","planet",318
"planet","biology",318
"biology","physics",1
"physics","biology",1
"biology","geology",16
"geology","biology",16
"biology","archeology",0
"archeology","biology",0
"biology","chemistry",14
"chemistry","biology",14
"biology","epistemology",23
"epistemology","biology",23
"biology","history",4
"history","biology",4
"biology","informatics",2
"informatics","biology",2
"biology","linguistic",2
"linguistic","biology",2
"biology","pie",6
"pie","biology",6
"biology","geography",6
"geography","biology",6
"techno","techno",18
"techno","psycho",0
"psycho","techno",0
"techno","socio",0
"socio","techno",0
"techno","medicine",0
"medicine","techno",0
"techno","planet",0
"planet","techno",0
"techno","physics",0
"physics","techno",0
"techno","geology",0
"geology","techno",0
"techno","archeology",0
"archeology","techno",0
"techno","chemistry",0
"chemistry","techno",0
"techno","epistemology",0
"epistemology","techno",0
"techno","history",0
"history","techno",0
"techno","informatics",0
"informatics","techno",0
"techno","linguistic",0
"linguistic","techno",0
"techno","pie",0
"pie","techno",0
"techno","geography",0
"geography","techno",0
"psycho","psycho",25
"psycho","socio",10
"socio","psycho",10
"psycho","medicine",0
"medicine","psycho",0
"psycho","planet",0
"planet","psycho",0
"psycho","physics",0
"physics","psycho",0
"psycho","geology",0
"geology","psycho",0
"psycho","archeology",0
"archeology","psycho",0
"psycho","chemistry",0
"chemistry","psycho",0
"psycho","epistemology",0
"epistemology","psycho",0
"psycho","history",0
"history","psycho",0
"psycho","informatics",0
"informatics","psycho",0
"psycho","linguistic",0
"linguistic","psycho",0
"psycho","pie",0
"pie","psycho",0
"psycho","geography",0
"geography","psycho",0
"socio","socio",51
"socio","medicine",0
"medicine","socio",0
"socio","planet",0
"planet","socio",0
"socio","physics",0
"physics","socio",0
"socio","geology",0
"geology","socio",0
"socio","archeology",0
"archeology","socio",0
"socio","chemistry",0
"chemistry","socio",0
"socio","epistemology",0
"epistemology","socio",0
"socio","history",0
"history","socio",0
"socio","informatics",0
"informatics","socio",0
"socio","linguistic",0
"linguistic","socio",0
"socio","pie",0
"pie","socio",0
"socio","geography",0
"geography","socio",0
"medicine","medicine",70
"medicine","planet",13
"planet","medicine",13
"medicine","physics",0
"physics","medicine",0
"medicine","geology",0
"geology","medicine",0
"medicine","archeology",0
"archeology","medicine",0
"medicine","chemistry",1
"chemistry","medicine",1
"medicine","epistemology",0
"epistemology","medicine",0
"medicine","history",0
"history","medicine",0
"medicine","informatics",0
"informatics","medicine",0
"medicine","linguistic",0
"linguistic","medicine",0
"medicine","pie",0
"pie","medicine",0
"medicine","geography",0
"geography","medicine",0
"planet","planet",492
"planet","physics",0
"physics","planet",0
"planet","geology",0
"geology","planet",0
"planet","archeology",0
"archeology","planet",0
"planet","chemistry",0
"chemistry","planet",0
"planet","epistemology",2
"epistemology","planet",2
"planet","history",2
"history","planet",2
"planet","informatics",0
"informatics","planet",0
"planet","linguistic",0
"linguistic","planet",0
"planet","pie",1
"pie","planet",1
"planet","geography",0
"geography","planet",0
"physics","physics",12
"physics","geology",0
"geology","physics",0
"physics","archeology",0
"archeology","physics",0
"physics","chemistry",0
"chemistry","physics",0
"physics","epistemology",0
"epistemology","physics",0
"physics","history",0
"history","physics",0
"physics","informatics",0
"informatics","physics",0
"physics","linguistic",0
"linguistic","physics",0
"physics","pie",0
"pie","physics",0
"physics","geography",0
"geography","physics",0
"geology","geology",37
"geology","archeology",0
"archeology","geology",0
"geology","chemistry",0
"chemistry","geology",0
"geology","epistemology",0
"epistemology","geology",0
"geology","history",4
"history","geology",4
"geology","informatics",0
"informatics","geology",0
"geology","linguistic",0
"linguistic","geology",0
"geology","pie",0
"pie","geology",0
"geology","geography",0
"geography","geology",0
"archeology","archeology",34
"archeology","chemistry",0
"chemistry","archeology",0
"archeology","epistemology",1
"epistemology","archeology",1
"archeology","history",2
"history","archeology",2
"archeology","informatics",0
"informatics","archeology",0
"archeology","linguistic",0
"linguistic","archeology",0
"archeology","pie",0
"pie","archeology",0
"archeology","geography",3
"geography","archeology",3
"chemistry","chemistry",16
"chemistry","epistemology",0
"epistemology","chemistry",0
"chemistry","history",0
"history","chemistry",0
"chemistry","informatics",0
"informatics","chemistry",0
"chemistry","linguistic",0
"linguistic","chemistry",0
"chemistry","pie",0
"pie","chemistry",0
"chemistry","geography",0
"geography","chemistry",0
"epistemology","epistemology",32
"epistemology","history",0
"history","epistemology",0
"epistemology","informatics",0
"informatics","epistemology",0
"epistemology","linguistic",0
"linguistic","epistemology",0
"epistemology","pie",0
"pie","epistemology",0
"epistemology","geography",2
"geography","epistemology",2
"history","history",11
"history","informatics",0
"informatics","history",0
"history","linguistic",0
"linguistic","history",0
"history","pie",0
"pie","history",0
"history","geography",0
"geography","history",0
"informatics","informatics",6
"informatics","linguistic",0
"linguistic","informatics",0
"informatics","pie",3
"pie","informatics",3
"informatics","geography",0
"geography","informatics",0
"linguistic","linguistic",2
"linguistic","pie",0
"pie","linguistic",0
"linguistic","geography",0
"geography","linguistic",0
"pie","pie",14
"pie","geography",0
"geography","pie",0
"geography","geography",32
